lead_id,created_at,customer_id,company_name_raw,industry_raw,province_raw,source_channel_raw,campaign_id,product_interest_id,inquiry_type,company_size_band,pages_viewed_30d,form_completeness_pct,requested_quote_flag,requested_sample_flag,budget_status,purchase_timeline_days,assigned_sales_id,lifecycle_status_raw,lost_reason_raw,expected_value_vnd,email,phone
L000048,2025-08-31 13:39:00,C0024,Green Scientific JSC,Pharmaceutical,Bac Ninh,Google Ads,MC001,P004,Technical Inquiry,50-249,2,81,0,0,Under Review,30,E101,Disqualified,No Response,19150000.0,green48@company.vn,0984416084
L000049,2025-09-09 17:38:00,C0012,Industrial Solutions JSC,Trading Company,Ho Chi Minh City,Google Ads,MC001,P001,Stock Check,50-249,2,100,0,0,Under Review,14,E102,Disqualified,Not ICP,5390000.0,industrial49@company.vn,0992007528
L000050,2025-09-09 08:03:00,C0004,Vietnam Tech Vietnam,Industrial Manufacturing,Hanoi,Google Ads,MC001,P002,Stock Check,250-999,3,76,0,0,Under Review,30,E102,Qualified,Competitor,7110000.0,vietnam50@company.vn,0933533052
L000051,2025-09-13 15:26:00,C0104,Green Manufacturing Co Ltd,Electronics,Binh Duong,Google Ads,MC001,P022,Price Request,10-49,5,55,1,0,Unknown,60,E103,Won,,86590000.0,green51@company.vn,0957280321
L000052,2025-09-29 14:06:00,C0013,Green Bio Vietnam,Trading,Binh Duong,Google Ads,MC001,P007,Technical Inquiry,1000+,2,96,0,0,Unknown,60,E102,Disqualified,Not ICP,13700000.0,green52@company.vn,0974007640
L000053,2025-10-03 16:04:00,C0002,Scientific Advanced Vietnam,F&B,Ha Noi,Google Ads,MC001,P006,Distributor Inquiry,1000+,3,76,0,0,Under Review,14,E102,Won,,17240000.0,,0986631442
L000054,2025-10-04 16:20:00,C0043,Health Med Vietnam,Food & Beverage,Long An,Google Ads,MC001,P005,Distributor Inquiry,50-249,4,68,1,0,No Budget,30,E102,Disqualified,Outside Scope,25930000.0,health54@company.vn,0981539773
L000055,2025-10-08 10:26:00,C0103,Vietnam Health Vietnam,Industrial Manufacturing,dong nai,Google Ads,MC001,P002,Sample Request,1000+,4,63,0,0,Approved,60,E103,Disqualified,Not ICP,9970000.0,,0965525973
L000056,2025-10-09 14:12:00,C0030,Solutions Bio Vietnam,Medical Device,Long An,Google Ads,MC001,P001,Technical Inquiry,10-49,6,79,0,0,Under Review,60,E101,Qualified,Price,17930000.0,solutions56@company.vn,0936383541
L000057,2025-10-09 08:48:00,C0008,Clean Electronics Vietnam,Pharmaceutical,BinhDuong,Google Ads,MC001,P007,Product Recommendation,50-249,5,85,0,1,Unknown,90,E101,Disqualified,No Response,5480000.0,clean57@company.vn,0948726833
L000058,2025-10-10 14:52:00,C0006,Lab Industrial JSC,Pharmaceutical,Ho Chi Minh City,google ppc,MC001,P027,Price Request,50-249,8,77,0,0,Unknown,90,E102,Quoted,Competitor,193180000.0,lab58@company.vn,0938067942
L000059,2025-10-13 13:36:00,C0123,Asia Asia Factory,Food & Beverage,Binh Duong,google ppc,MC001,P001,Technical Inquiry,1000+,2,63,1,0,Approved,14,E102,Quoted,No Response,33690000.0,asia59@company.vn,0952773140
L000060,2025-10-20 17:41:00,C0007,Nova Pharma Co Ltd,Medical Device,Ho Chi Minh City,Google Ads,MC001,P001,Price Request,50-249,3,94,0,0,Under Review,90,E102,Disqualified,No Budget,29700000.0,nova60@company.vn,0991701775
L000061,2025-10-23 17:37:00,C0003,Vietnam Green Vietnam,Medical Device,Ho Chi Minh City,Google Ads,MC001,P004,Sample Request,10-49,2,75,1,0,Unknown,14,E103,Disqualified,Student/Research,17920000.0,vietnam61@company.vn,0938062877
L000062,2025-10-24 13:49:00,C0012,Industrial Solutions JSC,Trading Company,Ho Chi Minh City,Google Ads,MC001,P001,Sample Request,50-249,3,63,1,0,Under Review,30,E101,Qualified,Lead Time,31270000.0,,0921994886
L000063,2025-10-26 12:20:00,C0026,Precision Lab JSC,Trading Company,dong nai,Google Ads,MC001,P016,Technical Inquiry,50-249,1,71,0,1,Under Review,60,E102,Quoted,Specification,26110000.0,precision63@company.vn,0923634379
L000064,2025-10-26 10:51:00,C0014,Clean Health Vietnam,Pharmaceutical,Bac Ninh,Google Ads,MC001,P001,Technical Inquiry,50-249,5,77,0,0,Approved,7,E101,Quoted,Price,7030000.0,clean64@company.vn,0958429024
L000065,2025-10-28 16:15:00,C0173,Industrial Electronics Factory,PHARMACEUTICAL,TP.HCM,Google Ads,MC001,P009,Price Request,50-249,1,87,0,0,Unknown,7,E102,Qualified,Competitor,9050000.0,industrial65@company.vn,0969067300
L000066,2025-10-29 15:00:00,C0001,Green Asia Vietnam,Food & Beverage,HCMC,Google Ads,MC001,P009,Product Recommendation,50-249,5,52,0,0,Approved,60,E101,Disqualified,Outside Scope,9400000.0,green66@company.vn,0941301315
L000067,2025-10-30 08:14:00,C0030,Solutions Bio Vietnam,Medical Device,Long An,Google Ads,MC001,P001,Distributor Inquiry,10-49,3,88,0,0,Under Review,7,E102,Qualified,Project Delayed,7930000.0,solutions67@company.vn,0920946407
L000068,2025-11-10 09:33:00,C0016,Lab Advanced Co Ltd,Food & Beverage,Dong Nai,Google Ads,MC001,P002,Product Recommendation,50-249,3,81,0,0,Unknown,180,E102,Qualified,Price,21370000.0,lab68@company.vn,
L000069,2025-11-14 13:38:00,C0068,Manufacturing Advanced Vietnam,Pharmaceutical,hochiminh city,GAds,MC001,P001,Distributor Inquiry,10-49,2,70,0,1,Unknown,14,E103,Disqualified,No Response,18580000.0,manufacturing69@company.vn,0930816566
L000070,2025-11-16 15:17:00,C0144,Scientific Nova Vietnam,Pharmaceutical,Ho Chi Minh City,Google Ads,MC001,P013,Distributor Inquiry,250-999,5,61,1,0,No Budget,90,E102,Qualified,Lead Time,3240000.0,scientific70@company.vn,0937304444
L000071,2025-11-17 08:18:00,C0009,Tech Tech Factory,Pharmaceutical,Dong Nai,Google Ads,MC001,P014,Sample Request,50-249,2,70,1,0,Approved,30,E101,Disqualified,No Budget,14160000.0,,0954017129
L000072,2025-11-18 14:22:00,C0059,Tech Tech JSC,Electronics,HA NOI,Google Ads,MC001,P003,Product Recommendation,1000+,5,73,0,0,Unknown,60,E101,Disqualified,No Budget,32160000.0,tech72@company.vn,0951899264
L000073,2025-11-18 17:03:00,C0002,Scientific Advanced Vietnam,Food & Beverage,Hanoi,Google Ads,MC001,P003,Sample Request,1000+,5,72,0,1,Approved,14,E102,Disqualified,Not ICP,13140000.0,scientific73@company.vn,0968324906
L000074,2025-11-24 08:50:00,C0005,Med Asia Vietnam,Industrial Mfg,Ho Chi Minh City,GAds,MC001,P009,Stock Check,10-49,2,99,1,0,Unknown,60,E102,Qualified,Specification,2520000.0,med74@company.vn,0927114230
L000075,2025-11-25 08:47:00,C0021,Solutions Clean Factory,Pharmaceutical,Ho Chi Minh City,Google Ads,MC001,P001,Technical Inquiry,10-49,1,85,0,0,Under Review,60,E101,Disqualified,Student/Research,30090000.0,solutions75@company.vn,
L000076,2025-11-30 11:08:00,C0050,Lab Tech Vietnam,Cleanroom Contractor,Ho Chi Minh City,Paid Search,MC001,P002,Distributor Inquiry,10-49,3,82,0,0,Approved,30,E101,Disqualified,Not ICP,10590000.0,lab76@company.vn,0999360569
L000077,2025-12-12 11:23:00,C0006,Lab Industrial JSC,Pharmaceutical,Ho Chi Minh City,Google Ads,MC001,P003,Product Recommendation,50-249,1,63,0,0,Approved,180,E102,Disqualified,No Response,20640000.0,lab77@company.vn,0956963702
L000078,2025-12-20 16:08:00,C0037,Precision Clean Factory,PHARMACEUTICAL,Dong Nai,Google Ads,MC001,P002,Product Recommendation,50-249,2,86,0,0,Approved,30,E103,Disqualified,Not ICP,15860000.0,precision78@company.vn,0954238486
L000079,2025-12-22 11:05:00,C0029,Precision Asia Vietnam,Cleanroom contractor,Ho Chi Minh City,Google Ads,MC001,P004,Stock Check,10-49,2,72,1,0,Under Review,90,E101,Won,,25870000.0,precision79@company.vn,0991577592
L000080,2025-12-22 11:34:00,C0014,Clean Health Vietnam,PHARMACEUTICAL,Bac Ninh,Google Ads,MC001,P002,Sample Request,50-249,6,58,0,0,Approved,180,E102,Quoted,Price,10150000.0,clean80@company.vn,0960481551
L000081,2025-12-25 10:41:00,C0075,Nova Electronics Vietnam,Laboratory,Dong Nai,Google Ads,MC001,P024,Distributor Inquiry,10-49,4,70,1,0,Approved,30,E101,Disqualified,No Response,249050000.0,nova81@company.vn,
L000082,2026-01-09 13:59:00,C0003,Vietnam Green Vietnam,Medical Device,Ho Chi Minh City,Google Ads,MC001,P006,Technical Inquiry,10-49,2,61,1,0,Unknown,7,E101,Disqualified,No Response,6660000.0,vietnam82@company.vn,0916503923
L000083,2026-01-14 14:19:00,C0031,Electronics Vietnam Vietnam,Laboratory,Bac Ninh,Google ads,MC001,P001,Stock Check,50-249,4,59,0,0,Unknown,180,E101,Disqualified,No Budget,6590000.0,electronics83@company.vn,0936262807
L000084,2026-01-17 14:29:00,C0002,Scientific Advanced Vietnam,Food & Beverage,Ha Noi,Google Ads,MC001,P002,Sample Request,1000+,9,51,0,0,Under Review,180,E102,Qualified,No Response,15480000.0,scientific84@company.vn,0943743811
L000085,2026-01-18 17:45:00,C0025,Vietnam Precision Factory,Medical Device,Ho Chi Minh City,Google Ads,MC001,P002,Sample Request,10-49,6,89,0,0,Under Review,14,E101,Qualified,No Response,24190000.0,,0991382118
L000086,2026-02-06 08:40:00,C0063,Industrial Vietnam JSC,Laboratory,Binh Duong,google ppc,MC001,P009,Product Recommendation,250-999,1,64,0,0,Under Review,90,E102,Disqualified,Not ICP,13260000.0,industrial86@company.vn,0941725794
L000087,2026-02-23 13:40:00,C0102,Med Med Factory,Laboratory,Ha Noi,Google Ads,MC001,P004,Sample Request,10-49,3,73,1,0,Approved,14,E101,Quoted,Lead Time,35250000.0,med87@company.vn,0935862630
L000088,2026-02-23 17:56:00,C0080,Industrial Med Factory,Medical Device,Binh Duong,Google Ads,MC001,P001,Price Request,1000+,4,58,0,1,Under Review,30,E102,Qualified,No Response,53500000.0,industrial88@company.vn,0914946298
L000089,2026-02-25 11:50:00,C0006,Lab Industrial JSC,Pharmaceutical,Ho Chi Minh City,Google Ads,MC001,P002,Price Request,50-249,1,52,1,1,Approved,60,E102,Qualified,Competitor,15140000.0,lab89@company.vn,
L000090,2026-02-27 14:19:00,C0016,Lab Advanced Co Ltd,Food & Beverage,DongNai,Paid Search,MC001,P006,Sample Request,50-249,1,64,0,0,Unknown,7,E101,Disqualified,Outside Scope,13490000.0,,0965396849
L000091,2026-03-06 10:51:00,C0106,Vietnam Bio JSC,Pharmaceutical,Ho Chi Minh City,Google Ads,MC001,P002,Distributor Inquiry,50-249,2,99,1,0,Approved,90,E102,Won,,4400000.0,,0927366697
L000092,2026-03-12 14:55:00,C0030,Solutions Bio Vietnam,Medical Devices,Long An,Google Ads,MC001,P027,Distributor Inquiry,10-49,1,81,1,1,No Budget,14,E101,Disqualified,No Response,36970000.0,solutions92@company.vn,0974391801
L000093,2026-03-18 10:18:00,,Green Asia Vietnam,Food & Beverage,Ho Chi Minh City,Google Ads,MC001,P009,Distributor Inquiry,50-249,5,94,1,0,Approved,90,E102,Qualified,Project Delayed,6340000.0,green93@company.vn,0931676762
L000094,2026-03-24 11:54:00,C0085,Health Med Vietnam,Electronics,Dong Nai,Google Ads,MC001,P001,Stock Check,1000+,4,74,1,0,Approved,30,E102,Disqualified,No Response,30750000.0,health94@company.vn,0981858901
L000095,2026-03-25 14:39:00,,Scientific Industrial Co Ltd,Industrial Manufacturing,HCMC,Google Ads,MC001,P001,Sample Request,50-249,1,100,0,0,No Budget,90,E103,Disqualified,No Budget,3870000.0,scientific95@company.vn,0964798817
L000096,2026-03-27 09:15:00,C0176,Solutions Scientific JSC,Electronics,Binh Duong,google ppc,MC001,P001,Distributor Inquiry,250-999,1,89,1,1,Under Review,60,E101,Won,,15360000.0,solutions96@company.vn,0973889768
L000097,2026-03-29 09:52:00,C0005,Med Asia Vietnam,Industrial Manufacturing,Ho Chi Minh City,Google Ads,MC001,P007,Sample Request,10-49,1,70,1,1,Unknown,30,E102,Qualified,No Response,9050000.0,med0@company.vn,0985197188
L000098,2026-03-29 13:08:00,C0062,Clean Pharma Co Ltd,Trading Company,Ho Chi Minh City,Google Ads,MC001,P003,Product Recommendation,10-49,1,60,0,0,Unknown,14,E102,Disqualified,Not ICP,9590000.0,clean1@company.vn,0961105475
L000099,2026-03-31 16:59:00,C0012,Industrial Solutions JSC,Trading Company,Ho Chi Minh City,Google Ads,MC001,P001,Sample Request,50-249,7,59,0,0,Approved,14,E103,Disqualified,Not ICP,35000000.0,industrial2@company.vn,0937752272
L000100,2026-04-13 13:02:00,C0002,Scientific Advanced Vietnam,Food & Beverage,Ha Noi,Google Ads,MC001,P001,Product Recommendation,1000+,2,97,0,0,Approved,14,E103,Won,,8400000.0,,0963641311
L000101,2026-04-16 17:27:00,C0013,Green Bio Vietnam,Trading Company,Binh Duong,Google Ads,MC001,P001,Distributor Inquiry,1000+,2,44,0,0,Under Review,60,E101,Disqualified,No Budget,39870000.0,green4@company.vn,0934378735
L000102,2026-04-29 16:36:00,C0044,Scientific Industrial Factory,Pharmaceutical,Binh Duong,Paid Search,MC001,P001,Distributor Inquiry,10-49,3,47,0,0,Unknown,30,E103,Won,,12120000.0,scientific5@company.vn,0928650220
L000103,2026-05-06 17:42:00,C0007,Nova Pharma Co Ltd,Med Device,Ho Chi Minh City,Google Ads,MC001,P022,Distributor Inquiry,50-249,1,71,0,0,Approved,14,E103,Disqualified,Not ICP,49150000.0,nova6@company.vn,0935309049
L000104,2026-05-09 12:50:00,C0054,Clean Scientific Factory,Electronics,Dong Nai,Google Ads,MC001,P005,Product Recommendation,250-999,3,70,1,0,Unknown,60,E103,Won,Student/Research,14970000.0,,0935970992
L000105,2026-05-11 14:06:00,C0018,Solutions Health Vietnam,Cleanroom Contractor,Ha Noi,Google Ads,MC001,P016,Price Request,250-999,2,47,1,0,Under Review,90,E102,Qualified,Specification,19500000.0,solutions8@company.vn,0989949434
L000106,2026-05-14 09:44:00,C0043,Health Med Vietnam,Food & Beverage,Long An,Google Ads,MC001,P006,Product Recommendation,50-249,3,70,0,0,No Budget,30,E101,Quoted,No Budget,16940000.0,health9@company.vn,0984726556
L000107,2026-05-14 09:45:00,C0005,Med Asia Vietnam,Industrial Manufacturing,Ho Chi Minh City,Google Ads,MC001,P003,Price Request,10-49,1,68,0,0,Approved,60,E101,Disqualified,Outside Scope,18320000.0,med10@company.vn,0959094700
L000108,2026-05-20 15:32:00,C0008,Clean Electronics Vietnam,Pharmaceutical,Binh Duong,Google Ads,MC001,P006,Stock Check,50-249,3,49,1,0,Under Review,90,E103,Qualified,Price,26950000.0,clean11@company.vn,0954421143
L000109,2026-05-22 16:17:00,C0103,Vietnam Health Vietnam,Manufacturing,Dong Nai,google ppc,MC001,P020,Distributor Inquiry,1000+,3,88,1,0,Approved,180,E102,Won,,8820000.0,vietnam12@company.vn,0997593338
L000110,2026-05-25 14:57:00,C0032,Bio Industrial Vietnam,Industrial Manufacturing,Ho Chi Minh City,Google Ads,MC001,P022,Sample Request,50-249,4,82,0,0,Under Review,7,E103,Disqualified,Outside Scope,31890000.0,bio13@company.vn,0982187667
L000111,2026-05-26 16:57:00,C0003,Vietnam Green Vietnam,Medical Device,Ho Chi Minh City,Google Ads,MC001,P005,Product Recommendation,10-49,2,82,0,0,Approved,30,E103,Disqualified,Not ICP,15760000.0,vietnam14@company.vn,0972218609
L000112,2026-05-29 13:15:00,C0011,Asia Vietnam JSC,Pharmaceutical,Ho Chi Minh City,Google Ads,MC001,P001,Technical Inquiry,250-999,4,77,1,0,Under Review,30,E101,Qualified,No Response,27390000.0,asia15@company.vn,0953308235
L000113,2026-05-29 14:48:00,C0075,Nova Electronics Vietnam,Laboratory,Dong Nai,Google Ads,MC001,P006,Sample Request,10-49,1,48,0,0,Approved,14,E101,Won,,29070000.0,nova16@company.vn,0982291975
L000114,2026-05-29 15:46:00,C0171,Manufacturing Precision Factory,Trading Company,Dong Nai,Google Ads,MC001,P005,Distributor Inquiry,10-49,2,54,1,0,Under Review,60,E102,Won,,23800000.0,manufacturing17@company.vn,0922240669
